Sex,Age,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,P_ID,Note
2,25,鋭い、痛い、怖い,赤い、丸い,長い、過酷、高い,美しい、ひらひら、か弱い,流れる、瞬間に,激しい、怖い,鋭い、痛い,悪い、悪影響、怖い,美しい、みずみずしい、,綺麗、透明な,どんよりした、暗い、グレー,四角い、固い,ビリビリする、驚き、,広い、大きい,気高い、麗しい,難しい、ワクワクする,固い、高い,映る、反映する、,可愛い、愛くるしい,赤い、明るい,広がる、崩れる、立ちはだかる,怖い、痛い、消えない,少しずつ、上がる,弱い、やわらかい,高い、大きい,辛い、苦しい、長い,移る、変化する、変わる,絶対的、納める、高い,赤い、美しい,保つ、決める、平等に,のろい、おそい,濃い、見えない、ぼんやりしている,順番通りに、着実に、道筋,小さい、温かい,いたずらに、予測不可能,深い、長い、静か,見えない、不透明、謎,憤り、止められない,澄んでいる、暗い,くっつく、ぷにぷにしている,明るい、嬉しい、可愛い,刻む、リズミカル,果てしない、広い,楽しい、匂い、香り,堅い、息苦しい、堅実,799232,
1,40,鋭い、刺す,丸い、平べったい,登る、ゆっくり,舞う、きれい,流す、飲み込む,飛ぶ、吹き荒れる,切る、痛い,進む、隠れる,丸い、冷たい,もろい、冷たい,暗い、広がる,甘い、壊れる,痺れる、流れる,働く、動く,自分勝手、かわいい,難しい、解く,悲しい、寂しい,写す、跳ね返る,やわらかい、うれしい,膨らむ、赤い,壊す、激しい,増える、膨らむ,登る、止まる,のどか、やわらかい,偉大、座る,狭い、寒い,暖かい、寒い,積み重ねる、消える,燃える、赤い,傾く、公正,汚い、止まる,見えない、立ちはだかる,崩れる、作る,光る、明るい,襲う、来る,苦しい、静か,隠す、包む,燃える、激しい,広い、深い,吸う、膨らむ,咲く、明るい,続く、止まる,広い、壮大,きれい、華やか,固まる、狭い,794539,
2,26,鋭い、切れる,赤い、燃える,険しい、難しい,華麗な、絢爛な,とめどない、無尽蔵だ,荒々しい、暴力的な,鋭利な、突き刺す,危険な、はらはらする,小さな、滴る,美しい、繊細な,滲む、たどたどしい,角ばった、四角の、固い,迸る、はっとする,機械的な、事務的な,気品のある、格式高い,難解な、不可解な,聳える、立派な,澄んだ、透明な,愛らしい、稚い,生気のない、愛らしい,怒涛の、一挙に,膨らむ、肥大する,踏みしめる、段階的な,か細い、わずかな,厳格な、厳かな,閉じる、密室の,鮮やかだ、瑞々しい,厳しい、困難な,丸い、漂う,どっちつかずだ、釣り合う、等しい,硬い、まだらな,紛れる、ぼやける,山積みだ、構築する,照らす、ほのかな,予想外な、突然に,深い、果てしない,覆う、煙に巻く,とめどない、飲み込む,清い、無垢な,不気味な、丸々とした,和やかな、明るい,拍動する、規則正しい,広大な、無限の,華やかな、香しい,屈強な、頑丈な,242293,
2,54,刺す、切り刻む、すぐ出せる,重い、光が鈍い、地味だ,頂上は遠い、困難を要する、上を目指す,軽い、舞う、繊細だ,一気に流れる、災害的だ、油断できない,激しい、痛い、荒々しい,傷つける、痛い、跡が残る,危険だ、追いつめられる、進行する,はかない、貴重だ、きれいだ,美しい、繊細だ、はかない,にごる、広がる、不気味だ,四角い、白い、崩れる,しびれる、激しい、早い,決まりがある、閉鎖的だ、厳しい,しなやかだ、かわいい、プライドが高い,わかりにくい、楽しい、伝える,固い、尊い、目印だ,光っている、透明だ、果てしない,飛ぶ、かわいい、中性的だ,ぶらさがる、赤い、目立つ,恐ろしい、突発的だ、何もかも飲み込む,広がる、悪魔的だ、なくならない,一歩ずつ上る、果てしない、体力を必要とする,疲れる、温かい、和やかだ,大きい、強い、見守っている,閉じ込められる、動けない、暗い,移り変わる、繰り返す、心地よい,巡る、増える、規則的だ,温かい、美しい、神秘的だ,比べる、測る、正確だ,這う、臭い、必要だ,前が見えない、うっとおしい、息苦しい,積み上げる、順番がある、しっかり立つ,はかない、消えそうだ、燃える,事故だ、まぐれだ、予想不可能だ,深い、暗い、謎だ,柔らかい、隠す、優しい,恐ろしい、燃える、立ちのぼる,潤っている、神秘的だ、美しい,吸い付く、湿っている、気持ち悪い,楽しい、美しい、健康だ,正確だ、繊細だ、規則的だ,広い、なびいている、落ち着く,幸せだ、良い香りがする、むせる,固い、閉じこめられる、距離を作る,121823,
2,49,切れる、鋭い,丸い、輝く,積み重ねる、努力する,きらびやかな、美しい,目まぐるしい、押し寄せる,凄まじい、激しい,鋭い、えぐる,危ない、怖い,みずみずしい、丸い,透明な、作ったような,暗い、ぼやけた,四角い、同じ,はっきりする、覚める,無機質な、堅苦しい,偉い、傲慢な,難しい、拒む,佇む、存在する,透き通る、映り込んだ,無邪気な、無垢な,ぶら下がる、赤い,群がる、連鎖する,不要な、面倒な,積み重ねる、努力する,かすかに、繊細な,偉大な、荘厳な,苦しい、忙しい,変化する、繰り返す,課せる、負担する,赤い、不気味な,平等な、公平な,努力する、黙々と,不透明な、見えづらい,積み重ねた、計算した,消えそうな、無力な,一瞬に、急に,深い、暗い,見えづらい、はっきりしない,瞬発的に、溢れ出す,潤んだ、深い,吸い付く、不気味な,きれいな、美しい,正確な、規則正しい,広い、波打つ,芳しい、匂う,堅苦しい、仰々しい,862232,
2,55,鋭い、刺さる,「　大きい　、輝く」,「　迷う　、頂上　、達成感だ」,「綺麗、舞う」,「たくさん、流れる」,「騒ぎ、通過、巻き起こす」,「うるさい、泣く」,「煙、命とりだ」,「白い、一粒だ」,「透明、キラキラ、光る」,「黒い、暗い　降る」,「白く、正方形」,「落ちる、稲妻だ」,「集合、排出」,「可愛い、無邪気、ツンデレだ」,「音符、謎だ」,「長い、固い、」,「高い、見える」,「白い、純情だ」,「明るい、炎、ぶら下がる」,「暴動、流れる、埋まる」,「　謎、　疑い　、ガンだ」,「知性、辛い」,「細い、緩やか、」,「頂点、誇る、雄大だ」,「苦しい、辛い」,「情熱、変わる」,「少し、任務だ」,「オレンジ色、丸い、揺れる」　　　　　　」,「怖い　、計る　　」,「固い、甲羅、汚い」,「考える、見えない」,「　理想、立体的だ」,「夢、光、見える」,「人生、出来事、過ぎる」,「黙る、静かだ」,「　白く、　薄い　」,「憎い、怒る」,「見える、景色だ」,「ふっくら、吸う」,「幸せ、嬉しい」　　」,「中心、鳴る」,「黄色い、広い」,「匂い　、散らばる」,「厳しい、基本だ」,361696,回答が教示に従っていない
1,39,つきささる、傷つく,まぶしい、輝いた,向かっていく、困難な,軽やかだ、しなやかな,流れる、早い,激しい、騒がしい,傷つく、痛い,危険だ、潜在的な,少ない、貴重だ,固い、綺麗だ,暗い、沈んだ,もろい、砕けやすい,刺激的な、しびれた,大きい、広い,癒される、可愛い,面白い、謎めいた,目立った、見つけやすい,透き通った、綺麗だ,無邪気な、可愛い,鮮やかな、色づいた,巻き込んでいく、唐突な,苦しい、つきささる,着実な、一定な,弱い、心地いい,偉大な、どっしりした,窮屈な、息苦しい,移り行く、変化しやすい,高い、圧迫した,明るい、はっきりした,委ねられた、はかられた,長い、丈夫だ,見えない、晴れない,どっしりした、まとまった,消えない、明るい,唐突だ、急だ,深い、終わらない,かすんだ、綺麗な,赤い、止まらない,透きとおった、綺麗だ,なめらかだ、湿った,明るい、元気だ,遅い、ゆっくりな,果てしない、広大な,かぐわしい、癒される,固い、整った,608874,
2,31,痛い、傷つける,赤茶色い、丸い,しんどい、達成感のある,きれいだ、はかない,あふれ出る、止まらない,ひどい、激しい,痛い、切る,危険だ、危ない,小さい、丸い,きれい、冷たい,薄い、はかない,四角い、崩れる,強い、危険だ,暗い、汚い,偉そうだ、堂々と,難しい、難解だ,硬い、強い,跳ね返す、反射する,かわいい、きれいだ,硬い、ぶら下がる,止まらない、危ない,悪い、困難な,上る、下る,弱い、薄い,大きい、偉大だ,苦痛だ、しんどい,移り変わる、色々だ,理不尽だ、いやだ,はかない、悲しい,平等だ、測る,くさい、匂う,消えない、見づらい,高い、うごかない,温かい、光る,突然だ、急に,深い、暗い,隠す、薄い,激しい、熱い,青い、淡い,力強い、しつこい,明るい、きれいだ,刻む、止まらない,広い、大きい,きつい、いりまじる,狭い、窮屈だ,739412,
1,39,刺さる、痛い,明るい、眩しい,苦しい、達成感がある,可愛い、,速い、抑えられない　,恐怖、怒号,刺さる、痛い,ドキドキ、恐怖,消えやすい、美しい、儚い,美しい、繊細,暗い、黒い,崩れそう、壊れやすい,衝動的、痛い,生産的、,わがまま、地位が高い,難解,硬い、大きい　,壊れやすい、明るい,微笑み、可愛らしい,ぶら下がる、揺れる,崩れやすい、止められない,一時的,少しずつ,静か、ため息,反りたつ、大きい,辛い、苦しい、地獄,変わりやすい、暖かい、寒い,重い,消えやすい、儚い,平等、正確,遅い、とろい、,先が見えない、視界が悪い,組み立て、壊れやすい,儚い、明るい,突然、予想できない,暗い、先が見えない,儚い、薄い,熱い、すごい、収拾がつかない,広い、,痛い、分厚い、黒い,美しい、笑顔,ドキドキ、止められない,広い、激しい,美しい、明るい,牢獄、苦しい,379334,
1,33,悪い、するどい、手痛い,わびしい、物憂い、寂しい,確実に、慎重に、辛抱強い,きれい、かるい、楽しい,止まらない、平等に、長い,激しい、痛い、うるさい,厳しい、正しい、するどい,悪い、けむい、こわい,きれい、はかない、小さい,きれい、壊れそう、寒い,暗い、悪い、寒い,脆い、軽い、むなしい,激しい、怖い、痛い,規則的に、規則正しい、大きい,きまぐれ、気高い、気まま,秘密な、意味深な、用心深い,硬い、寂しい、高い,きれい、澄んだ、高い,明るい、かわいい、楽しい,大きい、丸い、おいしそう,多い、たくさん、騒がしい,怪しい、膨らむ、悪い,慎重に、確実に、硬い,温い、寂しい、孤独な,高い、気高い、孤高な,苦しい、厳しい、辛い,いとおしい、いとしい、趣がある,苦しい、苦い、厳しい,はかない、寂しい、物寂しい,汚い、黒い、白い,おそい、のろい、むなしい,こわい、寂しい、おそろしい,かたい、おもい、つよい,明るい、遠い、険しい,きまぐれ、興味深い、面白い,暗い、黒い、深い,不安な、寂しい、孤独な,激しい、こわい、執念深い,きれい、澄んだ、美しい,醜い、気持ち悪い、むごい,きれい、楽しい、明るい,規則的に、規則正しい、確実に,広い、大きい、遠い,におい、さわやか、落ち着く,かたい、正しい、つつましい,430960,
1,36,鋭い、痛い,丸い、赤い,高い、難しい,きれいだ、儚い,多い、速い,激しい、速い,鋭い、痛い,熱い、苦しい,小さい、丸い,冷たい、鋭い,黒い、暗い,四角い、白い,素早い、痛い,退屈だ、規則正しい,かわいい、小さい,難しい、読めない,硬い、変わらない,透明だ、透き通る,かわいい、小さい,丸い、小さい,多い、大きい,邪魔だ、余分だ,段階的だ、固い,弱い、気持ちいい,強い、大きい,苦しい、退屈だ,美しい、きれいだ,高い、増える,丸い、きれいだ,吊り合う、正確だ,湿っている、汚れている,見えない、暗い,頑丈だ、硬い,明るい、ポジティブだ,怪しい、怖い,静かだ、暗い,深い、見えない,激しい、赤い,濡れる、冷たい,分厚い、柔らかい,美しい、儚い,規則正しい、正確だ,広い、大きい,きれいだ、美しい,きつい、固い,252242,
2,41,刺す、鋭い,臙脂色だ、鈍い,孤独だ、着実だ、,美しい、華やかだ,とめどない、襲い掛かる,吹きすさぶ、抗いがたい,鋭い、裂く,恐ろしい、危ない,光る、落ちる,透明だ、美しい,灰色だ、暗い,四角い、白い,素早い、光る,整然としている、うるさい,高貴だ、偉い,難しい、魅力的だ,立つ、硬い,映しだす、平面的だ,可愛らしい、清らかな,ぶらさがる、丸い,襲いかかる、轟く,不安だ、増える,登る、きつい,静かだ、ささやかだ,偉大だ、威圧する,重苦しい、辛い,移り変わる、美しい,しんどい、辛い,赤い、暖かい,量る、上下する,堅い、鈍い,広がる、怖い,建てる、築く,明るい、目立つ,恐ろしい、素早い,静かだ、暗い、穏やか,覆う、滑らかだ,爆発的だ、熱い,澄み切っている、静かだ,醜い、濡れている,美しい、和む,刻む、規則的だ,広い、波立つ,華やかだ、豪華だ,囲う、覆う,470187,
1,48,するどい、痛い,きれい、まぶしい,地味である、続く,きれい、美しい,長い、早い,怖い、恐ろしい,うるさい、細かい,怖い、恐ろしい,輝く、青い,きれい、透明である,薄暗い、細かい,白い、四角い,激しい、急である,規則正しい、正確である,小さい、わがままである,難しい、複雑である,固い、重い,きれい、透明である,やさしい、やわらかい,赤い、丸い,勢いがある、続く,続く、怪しい,長い、たいへんである,柔らかい、やさしい,大きい、神々しい,きつい、つらい,熱い、急に変わる,おおきくなる、続く,きれい、珍しい,公平である、正しい,汚い、うすい,わからない、みえない,固い、正しい,明るい、薄い,突然である、わからない,静かである、暗い,暗い、みえない,激しい、きつい,青い、透きとおっている,吸い付く、やかわかい,ほがらかである、やさしい,正確である、正しい,広い、大きい,きれい、鮮やかである,固い、重い,981343,
2,46,鋭い、激しい、怖い,明るい、赤い、神々しい,危険な、冒険的な、活発な,自由な、優雅な、美しい,溢れる、流れる、止まらない,激しい、怖い、強い,尖った、痛い、怖い,壊れそうな、暴力的な、不健康な,丸い、滴るような、綺麗な,繊細、弱い、綺麗な,薄暗い、黒い、広がった,四角い、積み重なった、角ばった,痛い、痺れる、激しい,広い、大きい、楽しい,ツンデレな、華奢な、優美な,難解な、難しい、規則的な,?い、硬い、まっすぐな,反射しやすい、綺麗な、青い,かわいい、小さい、壊れやすい,赤い、揺れる、丸い,崩れる、脆い、愚かな,憎い、嫌な、厄介な,段階が必要な、着実な、確実な,小さな、ほっとする、短い,大きい、どっしりした、尊敬できる,窮屈な、強制的な、暗い,変わりやすい、繰り返す、巡ってくる,義務的な、強制的な、逃げられない,赤い、大きな、丸い,平等な、均衡がとれた、公平な,硬い、汚い、かび臭い,濃い、見えにくい、怖い,誠実な、正確な、綿密な,儚い、弱々しい、消えそうな,早い、すぐに過ぎる、突発的な,深い、暗い、怖い,うっすらとした、美しい、繊細な,熱い、恐ろしい、爆発的な,深い、澄んだ、青い,潤った、ヌルッとした、光った,明るい、かわいい、綺麗な,正確な、規則正しい、動き続ける,広い、大きい、おっとりした,いい香り、気持ち良い、心地よい,窮屈な、誠実な、強固な,822250,
2,45,鋭い、鋭利だ,美しい、光り輝く,果てしない、孤独だ,素早い、華麗だ,早い、膨大だ,激しい、凄まじい,鋭い、鋭利だ,危ない、危険だ,瑞々しい、透明だ,繊細だ、透明だ,灰色だ、暗い,脆い、壊れやすい,鋭い、熱い,大きい、広い,わがままだ、気高い,難しい、難解だ,高い、白い,青い、透明だ,純粋だ、無垢だ,赤い、丸い,凄まじい、恐ろしい,黒い、深い,長い、果てしない,優しい、滑らかだ,不動だ、堂々としている,辛い、苦しい,美しい、移りゆく,多い、膨大だ,赤い、明るい,公平だ、平等だ,臭い、黒い,果てしない、尽きることがない,固い、強固だ,明るい、温かい,怖ろしい、恐怖だ,深い、深遠だ,深い、謎だ,激しい、怖ろしい,美しい、清らかだ,光っている、艶やかだ,愛らしい、綺麗だ,規則正しい、正確だ,広い、広大だ,かぐわしい、癒しだ,窮屈だ、息苦しい,594230,
1,40,突き刺さる、斬る、刺す,赤い、赤みがかった,積み重ねる、着々と、段階的な,羽ばたく、優雅な,流れる、飲み込む,激しい、乱暴である,鋭い、切る、裂く,じわりと、ゆっくりと,丸い、輝く,透き通った、美しい,暗い、ぼんやりしている,四角い、白い,走る、強い、一瞬の,画一的である、規則正しい,気ままな、自分勝手な,難解な、難しい、不可解な,そそり立つ、長い、大きい,透き通っている、きれいな,無邪気な、天真爛漫な、無垢な,赤い、垂れている,怒涛の、勢いのある、飲み込む,広がる、移る,段階的な、積み重なった,弱い、穏やか,堂々としている、威風堂々とした,拘束的な、厳しい,変化する、変わりやすい,重い、辛い、過重な,赤い、落ちる、白い,揺れる、動く,ゆっくりと、汚れている,見えない、晴れない,整然とした、積み重ねる,明るい、光っている,残酷な、突然な,重苦しい、暗い,薄い、ぼんやりとした,激しい、強い、劇的な,澄んでいる、映している,赤い、つやつやした,咲く、美しい,一定の、打つ,広い、広大な,かぐわしい、華やかな,堅苦しい、狭苦しい,420144,
1,34,切れがある、鋭い,赤い、錆びた,険しい、困難な,優雅な、綺麗な,止まらない、溢れる,激しい、止まらない,鋭い、冷たい,危ない、怖い,美しい、冷たい,冷たい、美しい,暗い、黒い,固い、白い,痺れる、痛い,広い、無機質な,可愛い、可憐な,難しい、堅苦しい,高い、固い,まぶしい、輝く,可愛い、小さい,明るい、赤い,止まらない、押し寄せる,膨らむ、怖い,積み重ねる、険しい,涼しい、爽やか,偉大な、大きい,きつい、苦しい,移ろう、儚い,高い、苦しい,綺麗、儚い,難しい、中立な,長寿、汚れた,白い、見えない,高い、固い,儚い、明るい,恐ろしい、唐突な,深い、暗い,白い、濃い,激しい、恐ろしい,綺麗な、澄んだ,ぬめっている、厚ぼったい,明るい、可憐な,早い、小刻みな,広い、ゆらゆらと,芳しい、美しい,堅い、冷たい,744887,
