Sex,Age,TV01,TV02,TV03,TV04,TV05,TV06,TV07,TV08,TV09,TV10,TV11,TV12,TV13,TV14,TV15,TV16,TV17,TV18,TV19,TV20,TV21,TV22,TV23,TV24,TV25,TV26,TV27,TV28,TV29,TV30,TV31,TV32,TV33,TV34,TV35,TV36,TV37,TV38,TV39,TV40,TV41,TV42,TV43,TV44,TV45,P_ID,Note
2,30,心苦しい、悲しい,きれい、寂しい,ゆっくり、遅い,舞う、軽やかな,多い、長い、尽きない,激しい、怖い,鋭い、厳しい,目に見えない、危険だ,きれい、清々しい、高価,冷たい、はかない,薄暗い、不安だ,規則正しい、整っている、,強い、唖然とする,規則正しい、厳しい,気まぐれな、自由な、,難しい、細かい,大きい、たたずむ、もの寂しい,澄んでいる、きれい、遥かな,かわいい、やわらかい,丸い、ぽってりとした,大きい、巨大な、ダイナミックな,悪い、怪しむ,積み重ねる、重要な,かすかな、弱い,堂々とした、思い、ずっしりとした,大変だ、苦労する,嬉しい、ドキドキする,苦しい、大変だ、高い,はかない、寒い,怖い、正確だ,薄汚い、嫌い、匂う,暗い、思いわずらう、憂う,硬い、頑固な,頼もしい、はかない,思いがけない、変わる、速い,静かな、重々しい、暗い,白い、薄い、幻想的だ,熱い、怖い、うるさい,見通す、正直な,吸い付く、強い,かわいい、安心する、嬉しい,規則正しい、正確だ,広い、広大な,麗しい、女性らしい,窮屈な、細かい,834992,
2,46,鋭い、痛い,夕暮れ、暗くなる,努力、勉強,綺麗な、美しさ,突然の、残酷,災害、危険、テロ,容赦なく、苦痛な,危険物、害、迷惑,装飾品、芸術、透明,美しい、自然、冷たい,どんより、暗い、憂鬱な,もろい、壊れやすい,苦痛、鋭い、突然,建物、広い、大きい,気まぐれ、かわいらしさ,難解な、音楽,高い、大きい、硬い,綺麗な、広い,純粋な、可愛い、小さい,丸い、大きな,災難、強大な,膿、悪,こつこつと、じっくり、忍耐,そよ風、無風,壁、偉大,強制、不自由な,春、幸福、暖かい,負担、負債、義務,怖い、幽霊,正確な、絶対的な,黒っぽい、のんびりした,不安定な、不正確,堅苦しい、整然,はかない、小さい,残酷な、突然に,静寂、深い、奥深い,もやもや、不安、白い,強力な、怖い,見渡す、澄み渡る,不気味な、得体の知れない,幸せな、美しさ,働く、正確な、働き者,広大な、自然,美しい、ウキウキ,頑丈、窮屈、堅苦しい,596744,
1,34,鋭い、やるせない,価値がある、綺麗な、美しい,面白い、チャレンジングな、新しい,魅惑的な、官能的な、綺麗な,激しい、勢いがある、攻撃的な,恐ろしい、怖い、不安な,必要な、痛そうな,的確な、面白い、疑惑的な,綺麗、美しい、繊細,美しい、綺麗な、精密な,暗い、怪しい、魅惑的な,甘い、固い、四角い,激しい、速い、刺激的な,機械的な、固い、不必要な,偉そう、価値がある,面白い、比喩的な,古い、白い,綺麗な、美しい、晴れやかな,あからさまな、欺瞞的な,面白い、的を得ている、奇妙な,激しい、大きい、勢いがある,怖い、汚い、怪しい,リニアな、線形な,優しい、繊細な、生命力がある,壮大な、大きい、高い,きつい、難しい、肉体的な,柔軟な、爽やかな、寒い,面倒くさい、必要な、無駄な,丸い、不思議な,公平な、公正な、権威的な,遅い、丈夫な、頑丈な,怖い、白い、見えづらい,精密な、明確な、堅苦しい,必要な、明るい、希望に満ちた,突発的な、攻撃的な,怪しい、暗い,不思議な、見えない、はっきりしない,激しい、怖い、恐ろしい,深い、綺麗、壮大,やましい、下品な、卑しい,美しい、爽やか、清潔感がある,重要な、正確な、精巧な,壮大な、晴れやか,綺麗な、甘美な、甘い,面倒くさい、必要ない、窮屈な,229654,
1,43,危ない、硬い,冷たい、硬い,辛い、苦しい,美しい、艶めかしい,忙しい、苦しい,凄まじい、恐ろしい,冷たい、苦しい,危ない、怖い,美しい、冷たい,美しい、冷たい,うす暗い、冷たい,弱い、もろい,眩しい、危ない,きつい、苦しい,勇ましい、可愛い,難しい、面白い,硬い、高い,広い、高い,優しい、温かい,おいしい、明るい,騒々しい、激しい,悲しい、苦しい,難しい、つらい,優しい、静かだ,大きい、重い,暗い、厳しい,熱い、短い,辛い、高い,奇妙だ、怪しい,辛い、苦しい,汚い、臭い,重い、暗い,硬い、強い,うれしい、明るい,煩わしい、危ない,暗い、深い,怪しい、深い,熱い、激しい,深い、暗い,汚い、悪い,美しい、にぎやかだ,熱い、激しい,大きい、明るい,眩い、美しい,堅苦しい、厳しい,687473,
1,45,鋭い、冷たい、硬い,丸い、赤い、硬い,高い、遠い、苦しい,舞う、飛ぶ、跳ねる,速い、止まらない、前進だ,強い、激しい、恐ろしい,鋭い、冷たい、硬い,危険だ、危ない、恐ろしい,眩しい、透明だ、美しい,棘だ、細い、鋭い,薄暗い、冷たい、遠い,崩れやすい、崩壊しやすい、壊れやすい,鋭い、素早い、痺れる,固い、大きい、巨大だ,可愛い、純粋だ、清い,謎だ、深い、孤独だ,硬い、高い、重い,透き通る、輝く、眩しい,可愛い、小さい、純粋だ,軽い、ふんわりしている、丸い,止まらない、激しい、混雑だ,広がる、止まらない、恐ろしい,高層だ、前進だ、未来だ,涼しい、爽やかだ、浅い,高い、遠い、大きい,地獄だ、辛い、苦しい,変化する、色とりどりだ、移ろいやすい,高い、重い、辛い,真っ赤だ、血の塊だ、燃え盛る,ぶれる、揺れる、迷う,ゆっくり、丁寧だ、重たい,薄暗い、深い、真っ暗だ,階段だ、積み上げる、考える,明るい、眩しい、輝かしい,突然だ、急だ、棘だ,深い、静寂だ、静かだ,謎だ、深い、撹乱する,真っ赤だ、激しい、暴走だ,透き通る、深い、透明だ,柔らかい、プルプルだ、赤い,美しい、可愛い、爽やかだ,鳴る、太鼓だ、前進だ,なだらかだ、静かだ、広い,匂う、かぐわしい、心地よい,固い、重い、狭い,214246,
1,50,厳しい、切る,消える、無くなる,遠い、高い,華やかだ、舞う,溢れる、待たない,騒がしい、暴れる、壊れる,痛い、切れる,くさい、弾ける,清潔だ、透き通る,きれい、細かい,煙っている、冷たい,もろい、壊れやすい,びりびりする、ハッとする,生み出す、学びやすい,気高い、扱いにくい,難しい、読み解く,固い、煙い、壊れにくい,映し出す、透明だ,かわいい、あやす、癒される,ぶら下がる、揺れる,崩れる、賑わう,治りにくい、膨らむ,難しい、上りにくい,心地よい、爽やかだ,偉い、神々しい,忙しい、しんどい,移ろいやすい、儚い,厳しい、なくならない,赤い、丸い,測りやすい、公平だ,くさい、汚い、乾かない,見えない、白い,細かい、積み上げる,永続する、明るい,会い難い、襲われる,深い、不気味だ、静かだ,薄い、包む,吹き出す、怖い,静かだ、湿りやすい,吸う、痛い,かわいい、きれい,刻む、止まらない,広い、大きい,嬉しい、きれい,堅苦しい、狭い,974184,
2,25,傷つく、悲しい,厚い、綺麗,難しい、苦労,楽しい、明るい,速い、すぐに時間が過ぎる,怖い、怪我をする,痛い、怖い,悪い、怖い,繊細、美しい,綺麗、繊細,沈んでいる、暗い気持ち,厳しい、固い,雷に打たれる、電気が走る,規則的な、厳しい,世話が焼ける、意思を曲げない,難しい、理解に時間がかかる,古さを感じる、歴史,透明、澄んでいる,可愛い、愛しい,可愛らしい、赤ちゃんのような,暴力、危険、怖い,取り除きたい、気持ち悪い、すっきりしない,時間がかかる、着実に上る,静かな、優しい,偉い、傲慢な、偉大,苦痛、めんどくさい,移り行くもの、変化,常識的な、厳しい,美しい、綺麗、怖い,神が知るもの、運命,のろい、汚い,見えない、不安、不透明,固い、順序よく,美しい光、明るい、元気な,避けられない、同じ,見つけられない、暗い,綺麗な、不透明,爆発、怖い、触れたくない,すべてを見透かしている、飲み込む,妖艶な、魅惑,明るい、元気な,有限、いつか止まる,気持ちいい、空気がおいしい,よい香り、女性らしい,正しい、守らなければいけない,813515,
1,40,いたい、短い,きれい、かわらない,おそい、遠い,うつくしい、わからない,たくさん、多い,やかましい、こわい,やさしい、いたい,こわい、わからない,きれい、少ない,うつくしい、はかない,黒い、きたない,四角い、白い,こわい、いたい,もくもくと、かたい,うつくしい、かわいい,わからない、きびしい,かたい、つよい,きれい、くっきり,やさしい、うれしい,赤黄色い、やわらかい,怖い、はやい,こわい、わからない,とおい、つらい,くさい、苦しい,恐れ多い、つよい,つらい、きびしい,寒い、熱い,きびしい、こわい,きれい、はかない,偏らない、不安定,おそい、しぶとい,強い、大きい,堅苦しい、強い,赤い、長い,突然に、こわい,深い、こわい,わからない、こわい,こわい、読めない,たくさん、あおい,うっとおしい、おそろしい,うれしい、みじかい,同じ、不変,おおい、きれい,うれしい、ありがたい,かたい、つよい,268448,
1,41,鋭い、痛々しい,眩しい、赤茶色い,高い、長い,綺麗、活発だ,止まらない、多い,強い、荒々しい,冷たい、鋭い,臭い、危ない,美しい、脆い、輝く,冷たい、儚い,暗い、冷たい、黒い,脆い、危うい、甘い,速い、瞬間的だ,集団、量産、,かわいらしい、麗しい,悩ましい、楽しい,高い、固い、煙い,青い、光る,可愛らしい、弱弱しい,甘い、脆い,多い、冷たい,あやしい、痛い,高い、段階的だ,くすぐったい、生暖かい,高い、大きい,辛い、固い,暖かい、心地よい,ひどい、苦しい,赤い、怖い,厳しい、不安だ,臭い、汚い,心細い、見えない,硬い、強い,明るい、望ましい,痛い、悲しい,深い、静かだ,薄い、不透明,激しい、近寄りがたい、熱い,湿っぽい、大きい,気持ち悪い、柔らかい,明るい、かわいい,早い、止まらない,揺らめく、流れる,香しい、きれい,冷たい、固い,619118,
2,53,突き刺す、怖い、辛い,美しい、儚い、輝く,険しい、辛い、楽しい,美しい、回る、軽やかだ,流れる、急だ、進み続ける,恐ろしい、強い、脅威的だ,辛い、厳しい、怖い,危険だ、不健康だ、恐ろしい,小さい、儚い、綺麗だ,綺麗だ、透明だ、美しい,汚い、薄暗い、恐ろしい,脆い、危うい、壊れる,一瞬だ、急だ、瞬間的だ,厳しい、規則正しい、機械的だ,わがままだ、かわいい、小さい,難しい、面白い、楽しい,硬い、強い、大きい,美しい、幻想的だ、綺麗だ,かわいらしい、純粋無垢だ、小さい,明るい、かわいい、小さい,力強い、大きい、立ちはだかる,邪魔だ、悪だ、忌々しい,大きい、上る、遠い,軽い、易しい、容易だ,大きい、強い、美しい,孤独だ、厳しい、苦しい,変わりやすい、儚い、衰える,苦しい、厳しい、重い,美しい、儚い、大きい,危うい、難しい、悩む,遅い、長持ちする、強い,限りない、怖い、嫌だ,揺るがない、固い、頑丈だ,小さい、輝く、心強い,突然だ、予測不可能だ、急だ,静かだ、暗い、気まずい,不安定だ、遮る、邪魔だ,大きい、恐ろしい、突発的だ,美しい、透明だ、映す,吸いつく、危険だ、気味が悪い,明るい、美しい、かわいい,規則正しい、止まらない、動き続ける,広い、深い、波打つ,美しい、女性的だ、かわいらしい,厳しい、辛い、難しい,379880,
1,51,刺す、懐、,"茜色,光り輝く、",上り、継続、マイペース,ダンス、躍動,あふれる、流れる、,吹き荒れる。暴れる、粗野,切り刻む、鋭利、,爆発、タイマー、殺戮,儚い、しずく,透明、研磨,追悼する、涙、急ぐ,甘い、溶ける、白い,しびれる、ビリビリ、光る,大量生産、生み出す、同じもの,一番、傲慢,情報、変換する、隠す,刻む、業績、遺構,反射する、そのもの、光る,神の使い、導く、あどけない,丸い、膨らんだ、,崩れる、倒れる、飲み込む,膿、死、悪性,上がる、少しづつ、登る,弱風、ため息,一番、　大きい、偉い,暗闇、出れない、自由がない,変化する、移り変わる、４つ,収める、定期、差し出す,声、魂、遊離,バランス、行ったり来たり、測定,臆病、遅い、,見えない、白い、,積み上げる、住む、建てる,明るい、進路、目標,一瞬、思いがけない、殺し,深い、暗い、重い,隠れる、見えない、隠蔽,飛び出す、熱い、,溜める、潤す,吸う、ひっつく　張り付く,色とりどり、開く、咲く,一定、刻む、,広い、ずっと続く、果てしない,豪華、贈り物、,型にはまった、出られない、暗闇,697066,
2,43,小さい、大したこと無さそう、弱い,綺麗、尊い,少しずつ、確実に,かわいい、綺麗,沢山、多い,怖い、暴力,鋭い、怖い,有害、体に悪そう、毒,白い、透明,儚い、脆い、綺麗,小雨、霧雨、曇天,脆い、危険,一瞬、危険,暗い、陰湿,かわいい、小さい、わがまま,難しい、難解,高い、堅い,綺麗、青い,かわいい、小さい,大きい、丸々、おいしそう,群衆、怖い、恐怖,怖い、疑心暗鬼,少しずつ、長期,弱い、細々しい,恐ろしい、雪山,ブラック企業、違法就労,いつでも、大きい,微々たる、重い,怖い、儚い,公平、怖い,堅い、掃除,濃い、深い、暗い,積み重ね、地道,儚い、絶望,恐ろしい、怖い,静か、深い、暗い,濃い、深い,怒っている、怖い、恐ろしい,号泣、涙もろい,怖い、いやらしい,かわいい、綺麗,規則的、困惑,広大、北海道、大きい,高そう、高級,がんじがらめ、窮屈,695517,
1,36,危ない、鋭い、痛い,まるい、煌びやか、低い,上る、果てしない、遠い,まわる、めぐる、飛び跳ねる,止められない、押し寄せる、呑み込む,危ない、荒れ狂う、乱す,鋭い、痛い、暴く,迫る、窮する、恐ろしい,まるい、なめらか、小さい,美しい、儚い、透き通っている,暗い、ぼんやり、濁る,角張っている、脆い、崩れる,痛い、迸る、流れる,型にはまる、寒々しい、騒がしい,かわいい、わがまま、慈しむ,読み解く、伝える、交わす,高い、冷たい、思い出す,映す、見る、なめらか,かわいい、小さい、惨い,ぶら下がる、連なる、目立つ,流れる、進む、気圧される,塞ぐ、差し支える、張り付く,上る、疲れる、高い,こそばゆい、弱い、小さい,偉い、落ち着き、重々しい,囚われる、押し込める、息苦しい,移る、変わる、美しい,課される、収める、寒い,かたまり、縁起の悪い、空恐ろしい,傾く、揺らぐ、張り詰める,かたい、鈍い、くさい,立ちこめる、見えない、手を伸ばす,かたい、動かない、しっかりしている,明るい、沸き立つ、縋る,不意打ち、いきなり、思いがけない,暗い、重い、息苦しい,白い、覆う、見えない,恐ろしい、熱い、うるさい,澄んでいる、凪いでいる、冷たい,吸い付く、やわらかい、気持ち悪い,美しい、麗しい、愛でる,動く、刻む、貴い,広い、大きい、波打つ,香しい、華やか、目を引く,かたい、狭い、苦しい,450316,
2,47,意地悪だ、傷つける、嫌味だ,光っている、丸い、価値がある,長い、上る、苦しい,舞う、飛ぶ、動く,あっという間だ、過ぎ去る、早い,吹き荒れる、激しい、台風だ,突き刺す、冷たい、容赦ない,悪だ、不健康だ、良くない,きらきらしている、光り輝く、きれいだ,壊れそうだ、きれいだ、光っている,暗い、さえぎる、薄い,四角い、白い、かたい,突然だ、突き抜ける、鋭い,大量生産だ、機械的だ、つまらない,わがままだ、偉い、可愛がられる,記号だ、難しい、音符だ,かたい、大きい、冷たい,反射する、写し出す、光る,無邪気だ、悪気がない、かわいい,ぶら下がる、風船だ、オレンジだ,大勢だ、手ごわい、止められない,できものだ、膨れてくる、やっかいだ,ステップだ、上る、順番だ,一瞬だ、心地よい、あっという間だ,立ちはだかる、強い、どっしりしている,苦しい、辛い、休めない,移ろいやすい、変化する、あてにならない,納める、面倒だ、高い,はかない、枯れる、短命だ,難しい、判断しにくい、迷う,臭い、汚い、長持ちする,見えない、辛い、暗い,変えられない、かたい、建つ,光だ、輝いている、美しい,波乱万丈だ、予測できない、変えられない,暗い、高圧だ、静かだ,見えにくい、覆いだ、もやもやだ,爆発だ、広がる、突然だ,潤う、広い、変化する,ぷるぷるだ、柔らかい、赤い,明るい、きれいだ、幸せだ,脈打つ、定期的だ、壊れる,きれいだ、光っている、輝く,フェロモンだ、媚薬だ、おしゃれだ,堅苦しい、縛りだ、自由でない,842234,
1,57,鋭い、激しい,明るい、きれい,終わらない、遠い,美しい、妖しい,止められない、形がない,激しい、ひどい,失礼だ、うそくさい,けずる、煙たい,美しい、妖しい,きれい、美しい,どんよりした、気持ちが沈む,白い、もろい,感じる、熱い,極端だ、おかしい,魔法みたい、怪しい,わからない、複雑だ,いいすぎ、高い,青い、高い,うそくさい、迷信だ,おもしろい、食べたい,止められない、激しい,疑わしい、見たくないような,遅い、進まない,なまめかしい、色っぽい,絶対的だ、高い,つらい、頑張る,艶やか、せつない,もどかしい、うさんくさい,美しい、妖しい,あいまい、うそさくい,きたない、きれい,見えない、不確かだ,本音だ、正論ぽい,明るい、頑張れる,すばやい、戻らない,美しい、静か,透明な、水っぽい,赤い、激しい,美しい、青い,気持ち悪い、きたない,うそくさい、笑い,泊まらない、動いている,広い、とどめない,きれい、怪しい,考えすぎだ、うそくさい,992477,
1,43,危険な　鋭い　傷つく,淡く光る　永遠の　切なく光る,先の長い　遠い　苦労の絶え間ない,空に舞う　美しい　綺麗に,止められない　押し寄せる　絶え間なき,激しい　ぶつかり合う　収まりどころを見失った,鋭い　傷つける,時を刻む　健康の　人を陥れる,綺麗な　丸い,澄んだ　綺麗な　美しい,滲んだ　悲しいみの　地を染める,脆い　甘い　硬い,奔る　強烈な　痺れる,若者を育てる　人を造る　心を生む,可愛らしい　愛くるしい　誰しもが跪く,複雑な　奥の深い,高い　大きい　硬い,澄んだ　広い　,愛くるしい　羽のついた　堕ちのない,淡い　綺麗な　秋夜長の,激しい　全てを覆い潰す　,黒い　大きな　深い,長い　遠い　何処までも続く,優しい　くすぐるような　頬を掠める,気高き　ひれ伏させる　大きい,逃げれない　縛られた,色とりどりの　色鮮やかな,主に捧げる　厳しい　少ない,淡い　激しく燃え滾る　美しい,重りを司る　決断を下す　慎重に物事を測る,鈍い　臭い　ボロ,心を覆い隠す　先の見えない　晴れ間のない,硬い　高い　底のある,明るい　温かい　消えない,予測不可能な　目を曇らす　決まりのない,薄暗い　闇の広がる　底の見えない,薄い　濃い　辺りを覆い隠す,激しい　熱い　凄まじい,透き通った　澄んだ　綺麗な,赤い　太目の　艶がかった,素敵な　綺麗な　美しい　,命の　大切な　未知の,黄金の　金に輝く　,香り漂う　色とりどりの　身だしなみに使う,硬い　頑丈な　錠前のかかった,864699,
